LAMMPS Oil Droplet V3 - Physical Structure

1200 atoms
1100 bonds

3 atom types
1 bond types

0 200 xlo xhi
0 600 ylo yhi
0 360 zlo zhi

Atoms

1 1 3 0.0 83.218 319.981 194.401
2 1 3 0.0 83.634 320.284 192.984
3 1 3 0.0 84.155 320.588 191.567
4 1 3 0.0 84.571 320.891 190.149
5 1 3 0.0 85.092 321.194 188.732
6 1 3 0.0 85.508 321.497 187.315
7 1 3 0.0 86.028 321.801 185.897
8 1 3 0.0 86.445 322.104 184.480
9 1 3 0.0 86.965 322.407 183.063
10 1 3 0.0 87.381 322.710 181.645
11 1 3 0.0 87.902 323.014 180.228
12 1 3 0.0 88.318 323.317 178.811
13 2 3 0.0 116.206 284.778 163.863
14 2 3 0.0 115.966 283.657 164.875
15 2 3 0.0 115.665 282.536 165.887
16 2 3 0.0 115.424 281.415 166.899
17 2 3 0.0 115.124 280.293 167.911
18 2 3 0.0 114.883 279.172 168.923
19 2 3 0.0 114.582 278.051 169.935
20 2 3 0.0 114.342 276.930 170.947
21 2 3 0.0 114.041 275.809 171.959
22 2 3 0.0 113.801 274.687 172.971
23 2 3 0.0 113.500 273.566 173.983
24 2 3 0.0 113.259 272.445 174.995
25 3 3 0.0 114.984 306.000 191.220
26 3 3 0.0 114.892 305.549 192.688
27 3 3 0.0 114.777 305.099 194.156
28 3 3 0.0 114.684 304.648 195.624
29 3 3 0.0 114.569 304.197 197.092
30 3 3 0.0 114.477 303.746 198.560
31 3 3 0.0 114.361 303.296 200.028
32 3 3 0.0 114.269 302.845 201.496
33 3 3 0.0 114.154 302.394 202.964
34 3 3 0.0 114.061 301.943 204.432
35 3 3 0.0 113.946 301.493 205.900
36 3 3 0.0 113.854 301.042 207.368
37 4 3 0.0 109.292 303.553 187.252
38 4 3 0.0 110.237 302.625 186.912
39 4 3 0.0 111.417 301.697 186.571
40 4 3 0.0 112.362 300.769 186.231
41 4 3 0.0 113.543 299.841 185.890
42 4 3 0.0 114.488 298.913 185.550
43 4 3 0.0 115.669 297.985 185.209
