# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 542.856
2000 896.233
3000 920.909
4000 926.593
5000 1097.8
6000 1197.33
7000 1207.2
8000 1220.97
9000 1228
10000 1227.31
11000 1226.15
12000 1220.56
13000 1215.11
14000 1216.1
15000 1209.87
16000 1206.7
17000 1203.52
18000 1199.13
19000 1192.3
20000 1193.05
21000 1205.05
22000 1216.57
23000 1228.71
24000 1245.27
25000 1264.99
26000 1289.51
27000 1314.84
28000 1350.19
29000 1371.1
30000 1377.19
31000 1392.63
32000 1408.06
33000 1424.54
34000 1433.97
35000 1436.53
36000 1438.77
37000 1441.64
38000 1437.75
39000 1444.15
40000 1457.19
41000 1467.78
42000 1472.89
43000 1481.49
44000 1500.66
45000 1519.93
46000 1528.04
47000 1532.85
48000 1542.46
49000 1554.18
50000 1555.91
51000 1553.65
52000 1562.11
53000 1574.12
54000 1585.19
55000 1599.71
56000 1616.05
57000 1634.5
58000 1646.66
59000 1657.33
60000 1665.66
61000 1671.87
62000 1666.87
63000 1663.36
64000 1657.04
65000 1659
66000 1665.29
67000 1670.46
68000 1675.46
69000 1680.25
70000 1695.32
71000 1711.53
72000 1726.82
73000 1747.76
74000 1774.37
75000 1786.39
76000 1810.95
77000 1821.92
78000 1824.2
79000 1835.75
80000 1858.07
81000 1860.96
82000 1865.99
83000 1877.93
84000 1893.45
85000 1904.12
86000 1913.89
87000 1920.69
88000 1928.59
89000 1923.68
90000 1920.37
91000 1927.74
92000 1944.55
93000 1966.09
94000 1977.67
95000 1978.64
96000 1981.24
97000 1988.42
98000 2004.94
99000 2010.81
100000 2024.54
101000 2034.09
102000 2055.1
103000 2072.29
104000 2090.53
105000 2101.97
106000 2114.34
107000 2126.75
108000 2123.58
109000 2115.54
110000 2108.81
111000 2111.49
112000 2121.96
113000 2125.62
114000 2129.95
115000 2133.67
116000 2143.96
117000 2162.53
118000 2182.54
119000 2198.01
120000 2212.34
121000 2234.23
122000 2254.43
123000 2270.38
124000 2270.72
125000 2267.99
126000 2277.55
127000 2287.96
128000 2296.82
129000 2296.52
130000 2307.43
131000 2317.14
132000 2321.6
133000 2333.21
134000 2340.4
135000 2349.02
136000 2348.38
137000 2342.66
138000 2343.65
139000 2341.01
140000 2345.51
141000 2345.46
142000 2343.15
143000 2336.05
144000 2344.53
145000 2349.13
146000 2361.36
147000 2373.19
148000 2392.17
149000 2403.1
150000 2416.32
151000 2419.23
152000 2415.04
153000 2423.74
154000 2435.14
155000 2449.85
156000 2460.53
157000 2466.79
158000 2473.55
159000 2475.12
160000 2475.35
161000 2481.14
162000 2496.22
163000 2507.44
164000 2519.86
165000 2518.91
166000 2523
167000 2532.87
168000 2545.92
169000 2557.49
170000 2571.23
171000 2579.54
172000 2581.63
173000 2588.85
174000 2597.64
175000 2609.11
176000 2607.88
177000 2599.71
178000 2599.03
179000 2597.61
180000 2609.26
181000 2618.88
182000 2610.8
183000 2612.14
184000 2611.71
185000 2622.76
186000 2625.15
187000 2629.39
188000 2627.74
189000 2624.39
190000 2624.69
191000 2622.04
192000 2624.34
193000 2625.96
194000 2632.78
195000 2632.3
196000 2620.32
197000 2621.89
198000 2632.03
199000 2647.39
200000 2654.61
201000 2665.76
202000 2672.5
203000 2674.15
204000 2659.94
205000 2649.68
