# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 561.803
2000 970.937
3000 1055.13
4000 1142.3
5000 1336.21
6000 1445.38
7000 1460.5
8000 1466.33
9000 1473.61
10000 1480.22
11000 1488.35
12000 1498.65
13000 1506.41
14000 1516.56
15000 1535.2
16000 1554.97
17000 1565.89
18000 1573.15
19000 1569.76
20000 1571.5
21000 1585.14
22000 1592.13
23000 1605.3
24000 1607.65
25000 1612.53
26000 1622.2
27000 1623.95
28000 1629.75
29000 1637.44
30000 1646.16
31000 1648.2
32000 1645.09
33000 1650.04
34000 1656.78
35000 1662.9
36000 1661.78
37000 1666.49
38000 1666.49
39000 1667.01
40000 1670.32
41000 1667.78
42000 1661.34
43000 1665.75
44000 1675.16
45000 1689.19
46000 1705.5
47000 1718.23
48000 1721.16
49000 1718.8
50000 1721.95
51000 1734.89
52000 1753
53000 1762.08
54000 1769.26
55000 1776.33
56000 1783.34
57000 1794.68
58000 1804.51
59000 1816.8
60000 1828.73
61000 1828.91
62000 1829.97
63000 1824.83
64000 1819.41
65000 1815.81
66000 1815.96
67000 1810.81
68000 1814.74
69000 1815.22
70000 1816.54
71000 1835.14
72000 1849.35
73000 1853.82
74000 1871.56
75000 1891.22
76000 1915.16
77000 1936.19
78000 1957.82
79000 1979.7
80000 1998.93
81000 2016.92
82000 2028.17
83000 2034.19
84000 2042.47
85000 2052.77
86000 2061.17
87000 2070.74
88000 2073.76
89000 2073.87
90000 2087.73
91000 2101.16
92000 2113.37
93000 2119.18
94000 2139.07
95000 2162.97
96000 2177.17
97000 2192.82
98000 2206.24
99000 2225.44
100000 2237.98
101000 2244.8
102000 2243.22
103000 2243.41
104000 2256.71
105000 2283.35
106000 2295.75
107000 2298.59
108000 2303.83
109000 2311.53
110000 2318.07
111000 2320.85
112000 2324.74
113000 2336.03
114000 2337.81
115000 2338.47
116000 2338.22
117000 2342.97
118000 2349.42
119000 2360.55
120000 2376.35
121000 2386.6
122000 2401.3
123000 2424.29
124000 2429.71
125000 2424.45
126000 2416.91
127000 2411.68
128000 2421.79
129000 2427.99
130000 2431.36
131000 2436.32
132000 2439.28
133000 2440.8
134000 2439.27
135000 2451.28
136000 2459.59
137000 2461.48
138000 2459.22
139000 2464.68
140000 2459.24
141000 2441.54
142000 2435.95
143000 2436.29
144000 2440.92
145000 2441.71
146000 2447.22
147000 2462.56
148000 2489.71
149000 2503.77
150000 2507.84
151000 2505.86
152000 2502.08
153000 2513.12
154000 2510.11
155000 2512.79
156000 2517.48
157000 2521.63
158000 2535.12
159000 2548.04
160000 2558.09
161000 2553.53
162000 2546.83
163000 2548.78
164000 2538.33
165000 2533
166000 2526.36
167000 2516.76
168000 2517.98
169000 2522.28
170000 2533.12
171000 2543.86
172000 2542.52
173000 2542.05
174000 2543.87
175000 2526.01
176000 2521.64
177000 2515.44
178000 2505.5
179000 2503.61
180000 2506.56
181000 2507.17
182000 2511
183000 2515.87
184000 2516.64
185000 2510.75
186000 2510.71
187000 2505.02
188000 2485.3
189000 2479.98
190000 2480.88
191000 2490.88
192000 2499.9
193000 2513.7
194000 2531.54
195000 2542.65
196000 2547.58
197000 2545.72
198000 2558.64
199000 2576.86
200000 2574.87
201000 2559.53
202000 2551.28
203000 2552.65
204000 2563.33
205000 2564.6
