# Time-averaged data for fix f_msd
# TimeStep c_c_msd[4]
1000 506.647
2000 863.454
3000 949.664
4000 1019.07
5000 1172.36
6000 1269.72
7000 1274.08
8000 1277.54
9000 1282.25
10000 1284.03
11000 1280.07
12000 1272.34
13000 1261.24
14000 1262.14
15000 1272.58
16000 1287.61
17000 1285.25
18000 1277
19000 1275.27
20000 1276.62
21000 1280.66
22000 1294.28
23000 1312.48
24000 1321.64
25000 1332.09
26000 1346.31
27000 1363.87
28000 1379.98
29000 1389.15
30000 1392.05
31000 1394.67
32000 1396.15
33000 1401.78
34000 1411.51
35000 1421.79
36000 1434.36
37000 1454.79
38000 1472.43
39000 1492.12
40000 1506.64
41000 1518.06
42000 1527.49
43000 1537.32
44000 1557.66
45000 1580.9
46000 1596.64
47000 1606.8
48000 1620.17
49000 1642.51
50000 1660.68
51000 1680.37
52000 1696.57
53000 1700.99
54000 1703.78
55000 1705.74
56000 1711.14
57000 1702.62
58000 1704.33
59000 1710.06
60000 1720.26
61000 1717.56
62000 1728.12
63000 1745.81
64000 1748.22
65000 1762.04
66000 1781.44
67000 1790.11
68000 1789.81
69000 1787.85
70000 1800.22
71000 1800.11
72000 1794.69
73000 1802.1
74000 1809.66
75000 1819.16
76000 1846.3
77000 1867.32
78000 1887.57
79000 1896.82
80000 1903.89
81000 1920.3
82000 1934.55
83000 1926.43
84000 1920.66
85000 1920.24
86000 1924.71
87000 1938.59
88000 1946.84
89000 1965.11
90000 1979.9
91000 1992.54
92000 1997.81
93000 2013.84
94000 2024.53
95000 2039.45
96000 2056.74
97000 2069.88
98000 2068.67
99000 2057.28
100000 2044.45
101000 2035.47
102000 2034.43
103000 2031.26
104000 2027.97
105000 2015.98
106000 2011.2
107000 2008.57
108000 2010.18
109000 2000.82
110000 1988.35
111000 1983.05
112000 1974.61
113000 1981.12
114000 1983.19
115000 1979.78
116000 1978.04
117000 1982.76
118000 1979.58
119000 1976.3
120000 1967.54
121000 1968.58
122000 1963.78
123000 1967.24
124000 1984.44
125000 1996.22
126000 2011.02
127000 2029.93
128000 2044.64
129000 2058.85
130000 2079.41
131000 2104.63
132000 2116.64
133000 2125.85
134000 2143.63
135000 2151.08
136000 2148.67
137000 2146.49
138000 2144.96
139000 2140.97
140000 2141.36
141000 2157.27
142000 2169.62
143000 2192.33
144000 2213.99
145000 2228.46
146000 2247.9
147000 2255.06
148000 2270.85
149000 2284.36
150000 2300.43
151000 2325.38
152000 2338.26
153000 2353.23
154000 2357.08
155000 2362.92
156000 2363.62
157000 2359.47
158000 2346.6
159000 2335.43
160000 2330.17
161000 2324.88
162000 2327.69
163000 2333.01
164000 2338.2
165000 2343.39
166000 2344.39
167000 2355.81
168000 2365.13
169000 2375.44
170000 2386.05
171000 2401.4
172000 2405.61
173000 2406.96
174000 2408.19
175000 2409.72
176000 2421.66
177000 2432.53
178000 2439.44
179000 2439.29
180000 2436.41
181000 2421.38
182000 2415.29
183000 2409.87
184000 2395.3
185000 2389.13
186000 2394.45
187000 2404.05
188000 2387.37
189000 2370.71
190000 2356.08
191000 2346.48
192000 2342.79
193000 2351.14
194000 2361.02
195000 2379.09
196000 2393.91
197000 2396.05
198000 2399.46
199000 2395.73
200000 2396.65
201000 2403.14
202000 2403.49
203000 2401.81
204000 2414.11
205000 2431.74
