# Time-averaged data for fix f_shear
# TimeStep v_shear_stress
206000 -4.09602
207000 3.30377
208000 2.47805
209000 2.02658
210000 -1.61302
211000 2.17701
212000 0.879387
213000 1.30461
214000 2.16089
215000 4.03688
216000 1.3585
217000 1.73318
218000 0.678731
219000 1.7573
220000 2.60744
221000 3.7814
222000 2.92082
223000 3.90401
224000 2.98669
225000 2.83025
226000 2.72236
227000 2.84926
228000 3.76749
229000 4.34785
230000 4.63183
231000 4.44393
232000 3.26258
233000 2.85951
234000 4.72584
235000 3.72339
236000 2.82593
237000 4.71881
238000 4.25977
239000 7.95759
240000 6.52081
241000 5.90015
242000 4.87874
243000 5.69169
244000 6.81117
245000 5.22106
246000 5.89798
247000 5.06727
248000 3.64313
249000 1.50893
250000 0.152862
251000 0.354889
252000 3.68787
253000 3.74062
254000 2.34391
255000 3.30287
256000 4.01843
257000 4.32589
258000 3.62921
259000 3.32665
260000 1.88628
261000 0.850755
262000 0.427176
263000 0.427416
264000 1.9908
265000 1.13509
266000 2.19271
267000 -0.386198
268000 1.55651
269000 1.60315
270000 1.84896
271000 0.253783
272000 4.45856
273000 1.13426
274000 1.19229
275000 1.79797
276000 1.58188
277000 3.75411
278000 3.53334
279000 2.58511
280000 3.30376
281000 3.36047
282000 0.766252
283000 5.38272
284000 3.55375
285000 4.02092
286000 4.00217
287000 3.05167
288000 2.59768
289000 5.36178
290000 5.46805
291000 3.48945
292000 2.52751
293000 2.50022
294000 5.46912
295000 5.31668
296000 3.91271
297000 4.47295
298000 4.99728
299000 6.8453
300000 9.11208
301000 7.2286
302000 7.82298
303000 5.32037
304000 4.77494
305000 3.4197
306000 1.36441
307000 3.07481
308000 6.07304
309000 5.66283
310000 4.00315
311000 3.76898
312000 1.1682
313000 -3.16921
314000 -0.413152
315000 -0.345055
316000 -1.38227
317000 -0.560052
318000 -0.53593
319000 -0.842494
320000 -1.16076
321000 -0.266758
322000 0.568161
323000 -0.235026
324000 -2.28476
325000 -3.23242
326000 -1.80324
327000 -0.890801
328000 -1.27695
329000 -0.912502
330000 -0.698664
331000 -1.16698
332000 -1.09492
333000 2.94675
334000 0.661144
335000 -1.89425
336000 -1.11635
337000 -0.217476
338000 0.0881891
339000 -0.323874
340000 0.358743
341000 -0.772717
342000 1.4755
343000 -0.171357
344000 -0.489447
345000 2.31542
346000 -0.0541194
347000 -0.270674
348000 0.293456
349000 0.149134
350000 -0.518777
351000 -0.17104
352000 -0.447785
353000 -1.9163
354000 0.652314
355000 0.757257
356000 1.42338
357000 2.15912
358000 0.633408
359000 -1.28263
360000 -0.383356
361000 -1.11369
362000 -0.0186958
363000 0.348898
364000 -0.780243
365000 -0.751556
366000 -1.24073
367000 0.515577
368000 -1.11554
369000 -1.70901
370000 0.336101
371000 0.954613
372000 4.21913
373000 3.01072
374000 2.04629
375000 0.314421
376000 0.108841
377000 2.66624
378000 0.735615
379000 4.02295
380000 4.14644
381000 2.50329
382000 0.0208939
383000 0.894118
384000 0.84433
385000 2.56687
386000 5.34275
387000 6.379
388000 4.40767
389000 3.80092
390000 5.45383
391000 5.79876
392000 1.9183
393000 -0.730911
394000 -1.74472
395000 -2.31232
396000 0.735806
397000 0.826619
398000 2.90483
399000 2.17573
400000 0.617655
401000 -1.79424
402000 -1.48725
403000 -4.21443
404000 -4.65115
405000 -2.83447
406000 -4.53058
407000 -3.33081
408000 -1.08569
409000 0.840353
410000 -1.96739
411000 -1.11165
412000 1.23973
413000 1.11866
414000 0.349741
415000 -1.87622
416000 -1.65398
417000 -1.2732
418000 -3.38171
419000 -0.670025
420000 0.858357
421000 -0.370295
422000 -2.18956
423000 0.609495
424000 0.15519
425000 -1.93164
426000 -2.36022
427000 2.02474
428000 -0.96342
429000 0.372994
430000 -1.66852
431000 -1.79638
432000 -1.78179
433000 0.25898
434000 1.30282
435000 1.60843
436000 -1.02756
437000 -1.37731
438000 -0.837776
439000 1.15171
440000 3.17825
441000 4.78961
442000 3.11168
443000 1.50921
444000 0.959928
445000 2.35855
446000 1.37594
447000 4.82538
448000 6.02506
449000 9.4511
450000 9.46141
451000 9.90935
452000 8.55731
453000 8.95606
454000 9.41398
455000 4.56483
456000 5.98895
457000 8.42772
458000 7.5814
459000 4.82333
460000 2.7525
461000 7.17071
462000 6.99613
463000 7.16868
464000 7.56102
465000 6.09731
466000 6.45687
467000 4.56703
468000 5.26672
469000 8.1367
470000 6.60694
471000 8.13648
472000 7.38919
473000 4.05836
474000 5.43295
475000 3.81685
476000 1.02593
477000 4.13472
478000 5.07272
479000 3.54685
480000 2.1135
481000 2.90715
482000 3.18118
483000 -0.682221
484000 0.208603
485000 2.89453
486000 2.32536
487000 0.145411
488000 0.925936
489000 0.638814
490000 3.48365
491000 0.225599
492000 1.22381
493000 1.65113
494000 0.256432
495000 3.10069
496000 1.12212
497000 2.61172
498000 6.06121
499000 6.53092
500000 4.99064
501000 2.52088
502000 3.66468
503000 3.4665
504000 2.15742
505000 1.09405
506000 1.32345
507000 1.41831
508000 -1.15495
509000 -0.483569
510000 3.28656
511000 2.64588
512000 1.10603
513000 -0.541767
514000 -0.541089
515000 -2.14818
516000 -3.00246
517000 -4.8553
518000 -3.08507
519000 -0.3843
520000 -2.66589
521000 -2.70312
522000 -6.47742
523000 -7.19616
524000 -7.82621
525000 -7.48518
526000 -8.43212
527000 -8.98723
528000 -7.79115
529000 -9.12003
530000 -11.1252
531000 -9.55833
532000 -7.29018
533000 -8.54872
534000 -10.0576
535000 -5.17492
536000 -7.95137
537000 -8.48819
538000 -10.1396
539000 -10.9676
540000 -9.21555
541000 -9.17526
542000 -11.1245
543000 -10.3096
544000 -8.35688
545000 -9.04832
546000 -8.19513
547000 -7.27879
548000 -4.92635
549000 -5.65403
